order_id,order_item_id,sku,price,quantity
4559,3,SKU-30,2583.0,1.0
13522,1,SKU-8,100.0,0.0
11224,1,SKU_643,0.0,1.0
3102,1,SKU796,3076.0,0.0
5207,2,SKU-96,3738.0,1.0
5,4,NAN,4881.0,2.0
1384,1,SKU921,4057.0,2.0
11972,2,SKU839,0.0,0.0
13155,1,SKU293,999.99,2.0
4790,1,SKU-314,0.0,2.0
15295,2,SKU109,100.0,0.0
12000,2,SKU1180,100.0,2.0
9893,1,SKU1138,0.0,2.0
1824,3,SKU175,2311.0,1.0
13263,2,NAN,0.0,1.0
12186,3,SKU_95,100.0,1.0
3683,4,SKU296,999.99,0.0
9132,4,SKU641,2845.0,0.0
7212,1,SKU487,0.0,2.0
16236,2,SKU_319,999.99,2.0
8009,3,SKU_140,3869.0,0.0
7222,3,SKU_386,3387.0,1.0
4217,4,SKU_753,100.0,1.0
9214,1,NAN,999.99,0.0
13998,3,SKU-596,999.99,0.0
15418,1,SKU320,0.0,0.0
77,2,SKU189,0.0,1.0
13102,1,NAN,999.99,0.0
16930,1,NAN,999.99,2.0
7715,2,SKU1103,999.99,2.0
4401,1,SKU_261,2438.0,2.0
8429,4,SKU260,0.0,1.0
17007,1,SKU_752,0.0,0.0
12052,2,SKU223,361.0,1.0
14552,3,NAN,0.0,1.0
14509,4,SKU_1115,0.0,1.0
14627,1,NAN,1057.0,0.0
10017,4,SKU-757,100.0,0.0
17402,3,SKU_267,0.0,2.0
4996,3,SKU560,4559.0,2.0
14545,1,NAN,0.0,2.0
14648,1,SKU_655,999.99,2.0
17829,1,NAN,0.0,2.0
10970,2,SKU_1075,999.99,2.0
8694,3,SKU_913,2844.0,2.0
11656,1,SKU_279,0.0,0.0
12264,3,SKU667,2719.0,2.0
5737,1,NAN,0.0,2.0
9138,1,SKU_1028,3594.0,2.0
16751,2,SKU534,999.99,0.0
12467,1,SKU192,1832.0,0.0
4193,1,SKU134,3487.0,0.0
16274,2,SKU540,0.0,0.0
7783,3,SKU771,100.0,0.0
18069,1,SKU946,0.0,0.0
13180,2,NAN,0.0,1.0
19505,2,SKU-580,100.0,1.0
3490,1,SKU927,100.0,0.0
4985,1,SKU1060,4411.0,2.0
2225,1,NAN,4498.0,0.0
19328,4,SKU1078,1995.0,2.0
10193,2,SKU_857,0.0,1.0
11856,2,SKU-710,100.0,2.0
3513,1,NAN,0.0,2.0
19145,2,SKU980,999.99,2.0
11294,2,SKU369,0.0,1.0
1019,2,SKU-361,0.0,0.0
8915,2,SKU_281,100.0,0.0
7182,2,SKU_649,100.0,1.0
12331,2,NAN,100.0,0.0
4209,1,SKU377,0.0,0.0
7168,2,NAN,0.0,2.0
13602,4,SKU540,999.99,0.0
60,3,NAN,0.0,0.0
4774,4,SKU-81,0.0,1.0
3013,2,SKU504,999.99,2.0
16534,1,NAN,0.0,0.0
13830,3,SKU_1165,547.0,2.0
11483,1,NAN,3549.0,2.0
13090,2,SKU_967,0.0,2.0
10090,2,SKU_1030,460.0,2.0
6177,3,SKU463,0.0,0.0
13431,1,SKU553,928.0,1.0
13467,2,SKU-331,0.0,2.0
17405,2,NAN,0.0,0.0
5325,2,SKU850,3381.0,0.0
16598,3,SKU_32,2590.0,1.0
1240,2,SKU518,3994.0,0.0
2949,2,SKU1112,1127.0,0.0
5287,1,SKU465,0.0,2.0
14448,1,SKU_52,0.0,2.0
8364,1,SKU129,999.99,0.0
13291,1,SKU-1187,0.0,0.0
19181,3,SKU_1162,100.0,1.0
4170,1,SKU-17,3630.0,0.0
1668,2,NAN,1279.0,2.0
17415,2,NAN,1582.0,0.0
7686,1,NAN,0.0,2.0
19973,2,NAN,56.0,0.0
14701,4,NAN,999.99,2.0
8274,2,SKU-387,0.0,2.0
926,1,NAN,952.0,2.0
3372,3,SKU368,0.0,0.0
7895,2,NAN,0.0,2.0
19668,1,SKU_925,3735.0,0.0
8125,3,SKU_919,0.0,1.0
5116,2,SKU302,4183.0,0.0
7591,3,SKU314,0.0,2.0
13982,1,SKU623,0.0,0.0
9865,2,SKU695,4561.0,1.0
7363,2,SKU514,1222.0,0.0
4433,3,NAN,999.99,0.0
944,3,NAN,4567.0,2.0
8287,2,NAN,0.0,0.0
11562,2,SKU742,3926.0,1.0
17969,3,SKU-303,100.0,2.0
13809,2,SKU-1065,100.0,0.0
977,2,SKU-671,4906.0,0.0
9445,3,SKU-1030,100.0,2.0
1253,1,NAN,4059.0,1.0
18915,3,SKU174,999.99,2.0
7153,1,NAN,412.0,2.0
328,2,SKU-31,1863.0,0.0
8374,2,SKU71,508.0,2.0
16103,3,SKU321,4720.0,2.0
2595,3,NAN,0.0,0.0
12402,3,NAN,999.99,1.0
11680,1,NAN,3027.0,0.0
1849,3,SKU625,100.0,2.0
206,1,SKU906,0.0,1.0
7202,1,SKU471,0.0,0.0
3185,1,NAN,999.99,0.0
655,4,SKU-855,4249.0,0.0
19254,4,SKU_1108,0.0,2.0
3614,3,NAN,2797.0,2.0
9335,3,SKU1,0.0,2.0
5097,4,SKU_170,100.0,2.0
13758,1,SKU_924,469.0,1.0
3717,2,SKU768,3938.0,0.0
5229,3,SKU_1169,0.0,0.0
17294,2,SKU867,4193.0,0.0
17112,1,SKU_474,4027.0,2.0
19772,1,SKU800,2183.0,2.0
11871,3,SKU870,999.99,0.0
5150,2,SKU-235,2576.0,0.0
9116,3,SKU_707,999.99,0.0
9524,3,SKU1043,100.0,0.0
12538,1,SKU-574,999.99,2.0
5015,1,NAN,0.0,2.0
2007,3,NAN,0.0,0.0
15195,1,SKU315,852.0,0.0
11275,1,NAN,999.99,0.0
3495,3,NAN,100.0,2.0
17102,4,NAN,1730.0,0.0
6272,1,SKU201,999.99,2.0
2894,1,NAN,0.0,0.0
16168,1,SKU65,1667.0,0.0
14720,1,SKU-994,1161.0,2.0
687,3,SKU_156,0.0,0.0
19194,1,NAN,1517.0,0.0
13100,1,SKU439,100.0,2.0
14235,2,SKU_537,0.0,0.0
17059,1,SKU753,4520.0,0.0
15881,1,SKU-910,4156.0,1.0
13477,2,SKU-473,2810.0,0.0
12605,2,NAN,999.99,1.0
17692,1,SKU-902,100.0,0.0
18828,3,SKU624,0.0,2.0
2848,1,SKU-1042,0.0,0.0
784,3,SKU-738,0.0,2.0
4350,2,SKU_560,2476.0,0.0
3779,1,SKU-339,1206.0,2.0
19953,4,SKU-622,100.0,0.0
14617,1,NAN,999.99,1.0
15278,3,NAN,2812.0,0.0
2726,1,SKU1008,2274.0,2.0
10661,4,NAN,0.0,0.0
14178,2,SKU-584,3919.0,0.0
18232,2,SKU496,999.99,2.0
8658,1,SKU_335,999.99,0.0
6755,2,SKU277,100.0,1.0
14761,1,SKU537,4713.0,0.0
4899,2,SKU_930,0.0,0.0
15465,3,SKU-902,999.99,2.0
9341,1,SKU-1178,2588.0,2.0
6761,2,SKU994,100.0,2.0
13397,2,SKU252,100.0,1.0
4218,2,SKU557,999.99,0.0
10462,1,NAN,0.0,2.0
3982,1,SKU1098,944.0,2.0
12609,2,NAN,0.0,2.0
322,1,NAN,0.0,2.0
18563,2,NAN,999.99,0.0
4819,3,SKU274,2015.0,1.0
666,2,SKU_1131,2125.0,0.0
430,3,SKU_583,0.0,0.0
19308,3,SKU1009,999.99,2.0
5707,3,NAN,202.0,2.0
91,2,SKU1006,0.0,1.0
5830,2,SKU-123,4144.0,1.0
6319,1,SKU-1084,999.99,0.0
5157,1,SKU-697,0.0,0.0
5951,1,SKU_984,999.99,0.0
1068,3,SKU468,3531.0,2.0
9448,1,SKU491,0.0,1.0
8531,2,SKU333,0.0,2.0
1297,2,SKU_245,0.0,2.0
11193,3,SKU39,0.0,0.0
3770,1,NAN,0.0,1.0
11559,3,NAN,999.99,0.0
8282,3,SKU479,0.0,2.0
15551,1,SKU-1157,0.0,1.0
8080,1,SKU-102,100.0,1.0
19383,4,NAN,4718.0,1.0
4878,1,SKU577,3894.0,2.0
9897,3,SKU728,733.0,2.0
921,2,SKU_1020,4817.0,2.0
8199,1,SKU-1112,100.0,2.0
